成员介绍	member introduction
節名稱	Section name
黨員數目	number of party members
照片說明	photo description
過往成員	past members
服役	service
逝世地	place of death
活躍期間	active period
等级	grade
掲載誌	Ze Zaizhi
人员	personnel
面积排名	area ranking
宗教	religion
人口佔全國	population of the country
營運商	operator
編審	Editing
簡寫	shorthand
建队时间	Team building time
演員	actor
书记	secretary
徽號	emblem
邮政编码	zip code
站名	site name
擁有者	owner
註記	Mark
國土面積數據	land area data
安葬日期	Burial date
3節目名稱	3 Program name
校园环境	Campus Environment
人均国内生产总值购买力平价数据排名	GDP per capita PPP data ranking
现任其他领袖名字三	Names of other current leaders
政党交付金	party payment
馬新名稱	horse new name
称号	title
股道数目	Number of strands
居住地	place of residence
官方文字	official text
現任上議院立法首腦名字	Name of the current head of the House of Lords Legislative
兒女	children
樂器	musical instrument
造價	cost
座右铭	motto
出身	origin
6上一節目	6 Previous show
愛好	Hobby
主題音樂	theme music
2ndregional cup best	2nd regional cup best
地球轨道周期	Earth orbital period
執行製作	executive production
bölge	bölge
经典代表作	classic masterpiece
代表色	represent color
現役軍人數	active duty military
西汉	Western Han Dynasty
產地	Origin
國家代碼	country code
兄弟	brother
密度排名	Density ranking
校訓	Motto
位置	Location
內容	content
立太子	Prince Li
海外推出時期	Overseas launch period
播放時間	play time
議員數	number of members
前頻道名稱	former channel name
冊數	number of volumes
色彩編碼	color coding
太空时间	space time
所屬隊伍	Team
gdp占全国	gdp accounts for the whole country
製作	make
開工	start
总面积	The total area
gdp总值	gross gdp
發展	develop
市徽圖像	City emblem image
最低月均温	Minimum monthly average temperature
居处	residence
助理导演	Assistant Director
研究	Research
遊戲人數	Number of players
越南名稱	vietnamese name
電視網商標檔案	TV Network Trademark Archives
中文节目名	Chinese program name
當地語言	local language
季目	season
典侍	Servant
职数	Number of posts
作词	write lyrics
職員	staff
姐妹	sisters
町村章	Machimura Chapter
秘書長職銜	Secretary title
国家通称	Country name
成立日期	Date of establishment
大婚年月日	wedding date
頻道類別	channel category
任期开始	term begins
繼任	succession
電視節目	TV show
音樂	music
南北	North and South
管辖范围	Jurisdiction
头衔	title
戒名	ring name
电压	Voltage
称谓	title
日本名稱	Japanese name
场所	place
隐藏	hide
異母兄弟	half-brother
总人口	Total population
成立时间	Established
語言	language
原创	original
原案	original bill
人口密度數據	Population Density Data
開始	start
行政區類別	Administrative division category
