観測所	observatory
役名	role name
組織形態	Organizational morphology
都城	capital city
経度ew	longitudeew
ワイルドカード	Wildcard
6放送局	6 broadcasting stations
スカパー 開局月	SKY PerfecTV opening month
弁務官	Commissioner
編成地	knitting ground
打席	turn at bat
設計	design
設立	Established
ストレージ	storage
スリーサイズ	three size
日本一	No.1 in Japan
4当代	4 contemporary
1枚目画像の説明	Description of the first image
担当楽器	Instrument in charge
特別開局年	Special opening year
再廃止	Abolished again
地図画像 説明	Map image Description
od年	od year
カテゴリ	category
見出し	headline
議席注	seat note
その他の賞	Other awards
リーグ チャンピオンシップ回数	Number of league championships
地図国コード	map country code
2落選者名	2 names of losers
司法管轄区	Jurisdiction
姉妹誌	Sister magazine
ナンバープレート	License plate
公式ウェブサイト	Official website
最終学歴	Final Education
落選者名	Name of loser
市旗の説明	Description of the city flag
トレーナー	trainer
亡国時期	time of exile
代表国	Represented country
メンバー	member
制作会社	production company
合計年	total years
旧称	former name
居住地	residence
純利益	Net income
全幅	Width
副大統領職	Vice President
大言壮語	rant
原語名	original name
次席閣僚氏名	Name of Deputy Minister
位置画像	position image
比例区	proportional zone
ビルディング名称	Building name
親会社	parent company
廃止年月日	Abolition date
電報略号	Telegram abbreviation
出生名	birth name
当代	contemporary
メカニックデザイン	mechanic design
研究科	graduate school
標高m	altitude m
6落選者名	6 names of losers
純損失	net loss
2選択式装備	2 selectable equipment
ネックジョイント	neck joint
改修	Refurbishment
キャパ	Capacity
家紋	family crest
対象年齢	Target age
4武装	4 armament
自治体名	municipality name
2p	2p
お印	seal
位置地図	location map
旅客数	number of passengers
党員 党友数集計年月日	Party member Count date of party friends
注音	Zhuyin
家名	family name
独立教会の地位に対する総主教庁 他教会からの承認	Patriarchate for Independent Church Status Recognition by Other Churches
eo光テレビ	eo light tv
2次代	second generation
受賞歴	Awards
日韓クラブチャンピオンシップ出場	Participated in the Japan-Korea Club Championship
新十両	New Juryo
有効射程	effective range
所属リーグ	Belonging league
誌名	magazine name
標語追記	Slogan postscript
参照法条	Reference statute
旧名	former name
シンボル名	symbol name
3pp	3pp
上目	upper eye
キャッチコピー	catch copy
最優秀選手	best player
販売元	Distributor
aクラス回数	a class times
駅名	station name
死去日	date of death
教区数	number of parishes
学位	degree
シナリオ	scenario
県名	Prefecture name
ワイルドカード回数	Wildcard count
候補者数	number of candidates
サイトタイトル	site title
大統領権限継承順位	Order of succession to presidential powers
3落選者新旧別	3 Unsuccessful candidates old and new
画像サイズ指定	Specify image size
主製造業者	Main manufacturer
統計期	statistical period
水源	water source
殿堂	hall of fame
その他の役職	Other positions
墓地	cemetery
試合数	number of games
4在任期間	4 tenure
次官氏名	Undersecretary name
経度度	longitude
全高	Height
台語名	Dialogue name
関連	connection
列福日	beatification day
姉妹車	sister car
cap数	number of caps
英項名	English term name
コンテンツアイコン	content icon
最終上級部隊	final advanced unit
放送形式	Broadcast format
都市人口率	urban population rate
成立日	Established date
表示名称	Display name
ロゴ	logo
発売国	Release country
ハングル	hangul
交流戦優勝	Exchange match winner
画像説明	image description
ライセンス	license
iso 追記	add iso
成立区分	Establishment classification
在任期間	tenure
アナログ開局日	Analog opening date
8落選者得票率	8 Lost vote rate
最大差敗戦試合開催年	Year of the biggest losing game
雑多な内容の箇条書き	Miscellaneous bullet points
コントローラ入力	controller input
県都画像	Prefectural capital image
州首相	chief minister
国際組織	international organization
前身	predecessor
上院議員数	number of senators
成立経緯	History of establishment
所属政体	affiliation
ジャンクション	Junction
対象	subject
通行方向	Direction of traffic
通貨追記	currency note
デビュー	debut
最高標高	highest altitude
神号	God name
メディア	media
開局	opening
gdp順位	gdp rank
最高行政執行者称号	Chief Executive Officer Title
広東語	Cantonese
2全高	2 overall height
主要株主	Major shareholder
適齢総数	Age appropriate total
3落選者所属	3 unsuccessful affiliation
法廷名	court name
初の国際試合	first international match
正確性	Accuracy
本名簡体字	real name simplified
最高司令官	HQ Commander
配備期間	Deployment period
決算期	Accounting period
ページ名	page name
交流戦優勝回数	Interleague wins
f副パンツ	f vice pants
人口大きさ	population size
上院議員集計年月日	Senate Tally Date
特別閉局予定	Special closing schedule
アナログ開局年	Analog opening year
母父	mother and father
雑誌名コード	Magazine name code
消滅経緯	Extinction history
4a	4a
スカパー 開局日	SKY PerfecTV opening date
製作者	Producer
1blankname	1 blank name
駅数	number of stations
3放送局	3 broadcasting stations
主席閣僚職名	Chief Minister Title
最大トルク	Maximum torque
日本一回数	once in Japan
最小曲線半径	minimum curve radius
乗車定員	Boarding capacity
政務調査会長	Policy Research Chairman
陸地面積	land area
読み取り方法	reading method
創設	founding
編集	edit
人口密度	Population density
親署代替文	parental signature alternative
3節目調	3rd knot tone
ファステストラップ	fastest lap
選挙年	election year
国号	Country name
カンファレンス チャンピオンシップ年度	Conference Championship Year
ローマ字	romaji
商業施設面積	Commercial facility area
製作	Production
州章幅	state coat of arms
2次番組	Second program
経度分	minutes of longitude
ディレクtv開局年	DirecTV opening year
ヘッドコーチ	head coach
none エンジン	none engine
選手名	Player name
アリーナ	arena
運営時間	operating hours
よみがな	reading
落選者当落	loser
チームズタイトル	teams title
改称年月日	Date of name change
